latitude,longitude,City,Country,Max Temp,Humidity,Cloudiness,Wind Speed,Time
19.88,-90.46,campeche,mx,75.2,78.0,75.0,11.41,2018-02-02 00:44:00
-2.58,-49.12,mocajuba,br,77.01,90.0,80.0,2.53,2018-02-02 01:13:16
63.85,-139.21,mayo,ca,-27.41,60.0,5.0,2.64,2018-02-02 00:00:00
22.11,151.87,katsuura,jp,37.4,97.0,75.0,9.17,2018-02-02 00:00:00
-32.54,13.84,saldanha,za,60.8,82.0,88.0,9.17,2018-02-02 00:00:00
32.21,152.3,hasaki,jp,33.8,100.0,75.0,13.87,2018-02-02 00:46:00
59.28,-63.94,iqaluit,ca,-25.61,67.0,40.0,5.77,2018-02-02 00:00:00
5.25,-33.92,trairi,br,78.99,100.0,88.0,10.47,2018-02-02 01:12:24
45.8,106.62,mandalgovi,mn,-22.85,29.0,0.0,6.22,2018-02-02 01:13:52
41.92,49.11,xudat,az,15.41,87.0,0.0,1.97,2018-02-02 01:12:48
13.18,14.77,massaguet,td,66.2,19.0,0.0,8.05,2018-02-02 00:00:00
14.55,15.77,mao,td,61.89,21.0,0.0,12.48,2018-02-02 01:12:29
-42.84,168.29,wanaka,nz,53.52,62.0,8.0,2.75,2018-02-02 01:14:33
40.18,134.11,preobrazheniye,ru,2.04,57.0,24.0,2.42,2018-02-02 01:10:50
37.14,105.88,yinchuan,cn,-17.45,45.0,0.0,3.53,2018-02-02 01:11:59
57.42,-116.69,high level,ca,-16.61,75.0,75.0,4.7,2018-02-02 00:52:00
70.85,-13.41,husavik,is,33.8,80.0,20.0,27.51,2018-02-02 01:00:00
47.67,3.31,auxerre,fr,35.6,94.0,0.0,12.75,2018-02-02 01:00:00
-22.58,34.52,maxixe,mz,78.81,99.0,88.0,6.78,2018-02-02 01:15:00
-18.11,128.6,kununurra,au,86.0,70.0,75.0,8.05,2018-02-02 00:30:00
-0.84,17.48,mbandaka,cd,78.41,81.0,32.0,2.53,2018-02-02 01:13:31
-4.72,83.56,matara,lk,74.85,100.0,12.0,4.21,2018-02-02 01:12:31
48.12,-66.57,campbellton,ca,25.76,84.0,88.0,5.77,2018-02-02 01:11:33
25.73,-37.14,ponta do sol,cv,69.5,100.0,76.0,22.66,2018-02-02 01:16:15
9.47,-61.81,tucupita,ve,80.88,62.0,0.0,9.13,2018-02-02 01:11:13
68.55,-71.0,clyde river,ca,-27.41,67.0,5.0,8.05,2018-02-02 00:00:00
15.18,124.53,pandan,ph,79.4,100.0,56.0,18.75,2018-02-02 01:13:07
53.46,-136.07,sitka,us,35.03,45.0,0.0,11.48,2018-02-02 01:15:50
41.25,68.47,ilyich,kz,19.5,66.0,8.0,3.2,2018-02-02 01:12:59
50.53,-134.97,ketchikan,us,35.6,93.0,90.0,8.12,2018-02-02 00:56:00
-14.16,146.1,cairns,au,87.8,62.0,20.0,11.41,2018-02-02 00:30:00
-0.73,157.69,kieta,pg,82.86,98.0,92.0,7.67,2018-02-02 01:12:25
-1.29,-49.09,muana,br,78.9,97.0,92.0,7.11,2018-02-02 01:14:59
11.36,-17.34,oussouye,sn,66.2,82.0,0.0,6.93,2018-02-02 00:00:00
-23.28,151.54,gladstone,au,76.02,92.0,100.0,13.71,2018-02-02 01:13:33
41.34,15.08,ariano irpino,it,41.0,88.0,75.0,19.46,2018-02-01 23:55:00
-15.71,115.92,karratha,au,80.97,45.0,0.0,12.71,2018-02-02 01:13:53
52.45,84.59,bystryy istok,ru,-14.75,44.0,0.0,2.98,2018-02-02 01:11:05
62.13,-45.94,qaqortoq,gl,26.6,73.0,0.0,18.34,2018-02-02 00:50:00
33.57,113.03,luyang,cn,30.2,80.0,88.0,4.47,2018-02-02 00:00:00
28.69,33.26,suez,eg,35.79,78.0,0.0,2.75,2018-02-02 01:10:22
-12.39,36.41,lichinga,mz,64.4,100.0,20.0,6.93,2018-02-02 00:00:00
-30.36,-88.27,lebu,cl,58.74,84.0,0.0,24.11,2018-02-02 01:15:36
-2.16,111.93,pangkalanbuun,id,74.04,96.0,12.0,4.09,2018-02-02 01:11:56
55.17,88.85,goryachegorsk,ru,-16.5,46.0,8.0,2.75,2018-02-02 01:13:14
46.01,77.72,ushtobe,kz,-3.95,49.0,0.0,2.64,2018-02-02 01:10:34
7.57,88.4,port blair,in,79.71,100.0,0.0,10.02,2018-02-02 01:14:35
51.54,-25.72,lagoa,pt,48.2,66.0,0.0,12.75,2018-02-02 00:30:00
21.32,-120.89,guerrero negro,mx,72.15,44.0,92.0,3.2,2018-02-02 01:14:58
45.18,-19.15,vila franca do campo,pt,57.2,82.0,75.0,10.29,2018-02-02 00:30:00
70.59,-34.5,tasiilaq,gl,25.4,95.0,92.0,69.97,2018-02-02 01:14:29
54.57,-65.96,sept-iles,ca,17.6,85.0,90.0,11.41,2018-02-02 00:47:00
69.31,145.48,belaya gora,ru,-17.9,80.0,68.0,3.09,2018-02-02 01:16:18
2.23,41.43,wajir,ke,68.96,64.0,0.0,4.09,2018-02-02 01:11:27
51.14,89.74,teeli,ru,-29.28,39.0,8.0,1.52,2018-02-02 01:11:20
28.53,-2.11,adrar,dz,60.8,48.0,0.0,6.93,2018-02-02 00:00:00
55.83,100.21,chunskiy,ru,8.61,71.0,88.0,4.21,2018-02-02 01:12:51
2.22,102.99,chaah,my,74.63,97.0,92.0,4.09,2018-02-02 01:10:17
-34.11,145.98,griffith,au,76.29,45.0,0.0,10.47,2018-02-02 01:13:00
-36.26,163.57,ahipara,nz,70.4,81.0,36.0,14.27,2018-02-02 01:12:50
28.18,36.64,tabuk,sa,50.0,29.0,0.0,2.24,2018-02-02 00:00:00
-20.52,-63.59,boyuibe,bo,73.55,78.0,92.0,13.71,2018-02-02 01:11:20
16.41,45.39,sayyan,ye,35.88,85.0,0.0,2.19,2018-02-02 01:15:13
56.53,161.57,klyuchi,ru,-15.51,46.0,24.0,2.98,2018-02-02 01:16:20
5.88,79.14,beruwala,lk,79.31,100.0,8.0,10.25,2018-02-02 01:15:06
-7.41,7.82,soyo,ao,77.33,94.0,36.0,3.76,2018-02-02 01:11:13
7.24,-119.57,cabo san lucas,mx,73.4,82.0,90.0,5.82,2018-02-02 00:40:00
57.16,-11.93,ballina,ie,42.63,84.0,88.0,15.05,2018-02-02 01:14:01
-0.13,-3.39,axim,gh,80.61,99.0,8.0,7.56,2018-02-02 01:13:33
19.85,-15.3,nouakchott,mr,63.51,95.0,0.0,23.11,2018-02-02 01:11:37
69.29,-163.5,nome,us,69.8,83.0,90.0,4.7,2018-02-02 00:35:00
35.93,-56.8,saint george,bm,64.4,68.0,90.0,8.05,2018-02-02 00:55:00
-5.88,-42.67,agua branca,br,73.73,92.0,80.0,6.55,2018-02-02 01:13:10
87.93,162.91,cherskiy,ru,5.33,52.0,0.0,1.74,2018-02-02 01:16:42
14.02,105.32,det udom,th,62.6,77.0,75.0,5.82,2018-02-02 00:00:00
-1.19,11.18,fougamou,ga,70.76,100.0,80.0,2.98,2018-02-02 01:12:54
6.36,-53.74,mana,gf,75.53,95.0,92.0,3.65,2018-02-02 01:13:19
-71.34,-13.3,cape town,za,66.2,77.0,40.0,11.41,2018-02-02 00:00:00
-19.24,5.52,namibe,ao,75.21,100.0,80.0,8.68,2018-02-02 01:14:14
88.35,-57.37,upernavik,gl,-0.66,100.0,68.0,7.45,2018-02-02 01:16:46
65.6,11.94,bronnoysund,no,23.0,53.0,32.0,12.75,2018-02-02 00:50:00
-18.49,-91.26,hualmay,pe,69.99,78.0,36.0,4.76,2018-02-02 01:13:39
-21.46,148.34,moranbah,au,84.75,62.0,12.0,7.67,2018-02-02 01:14:32
57.31,-17.72,vestmannaeyjar,is,38.94,100.0,92.0,36.75,2018-02-02 01:11:02
41.62,94.32,hami,cn,-7.28,58.0,20.0,4.99,2018-02-02 01:15:28
-87.68,156.35,bluff,nz,56.49,100.0,68.0,19.86,2018-02-02 01:16:51
-10.85,-155.6,faanui,pf,81.51,100.0,64.0,16.17,2018-02-02 01:16:33
-10.35,28.81,mwense,zm,65.31,91.0,44.0,2.42,2018-02-02 01:14:05
-5.09,71.79,hithadhoo,mv,82.1,100.0,92.0,10.47,2018-02-02 01:16:32
15.42,130.66,san policarpo,ph,77.91,100.0,92.0,13.49,2018-02-02 01:13:05
76.74,142.22,deputatskiy,ru,-30.72,49.0,36.0,2.19,2018-02-02 01:14:19
7.4,-92.59,san jose,gt,71.3,85.0,56.0,2.19,2018-02-02 01:15:39
-19.71,-55.8,aquidauana,br,80.03,90.0,88.0,3.42,2018-02-02 01:13:44
40.74,140.36,kizukuri,jp,15.8,92.0,20.0,5.82,2018-02-02 00:00:00
-22.13,135.82,alice springs,au,84.2,39.0,0.0,8.05,2018-02-02 00:30:00
66.21,-101.07,thompson,ca,-22.01,67.0,75.0,5.82,2018-02-02 00:00:00
